Date,Open,High,Low,Close,Volume
2019-06-26,138.8700,139.6800,138.4100,138.5200,2284567
2019-06-27,138.7200,139.3000,137.9500,138.5200,2149824
2019-06-28,138.5700,139.1400,137.8400,137.9000,6154039
2019-07-01,139.6000,141.4900,139.2800,139.8800,3387184
2019-07-02,139.7500,140.4300,139.4700,140.2200,2410092
2019-07-03,140.7200,141.8200,140.4300,141.5400,1930361
2019-07-05,140.8700,141.4900,139.9100,141.3800,2135085
2019-07-08,141.0500,141.2900,140.2700,140.5700,2395487
2019-07-09,140.6100,140.9900,139.1300,139.3300,3365227
2019-07-10,140.0000,141.9100,139.7900,140.4700,2513931
2019-07-11,140.7900,141.5800,140.3000,141.2400,2133327
2019-07-12,141.9200,142.9200,141.6600,142.7400,2786276
2019-07-15,142.8900,143.5100,142.1200,143.3200,2368309
2019-07-16,143.1700,144.0400,143.0200,143.5300,3474688
2019-07-17,143.6100,143.8000,141.9500,143.0700,6064265
2019-07-18,142.5000,150.3100,142.2000,149.6300,12695387
2019-07-19,149.9600,151.5800,149.5500,149.6800,7290678
2019-07-22,150.1600,151.9400,149.7000,149.7400,4093239
2019-07-23,150.5700,150.7200,148.3800,150.3800,3742204
2019-07-24,150.1200,151.4500,149.2000,150.0300,2952435
2019-07-25,149.8200,150.6200,148.6100,150.3900,3102113
2019-07-26,151.0000,151.4100,150.1000,151.3600,2904494
2019-07-29,151.1100,151.4800,150.3200,150.8800,2075528
2019-07-30,150.0000,150.4000,149.2200,149.7700,2632726
2019-07-31,149.7000,150.1800,146.3900,148.2400,3722907
2019-08-01,148.9000,152.8200,148.5000,150.3200,6344006
2019-08-02,149.0300,152.9500,145.5900,147.2500,8101720
2019-08-05,144.9800,145.1000,139.1500,140.7600,7114871
2019-08-06,142.0300,142.4700,139.3100,140.7300,5070650
2019-08-07,138.7400,139.5800,136.4100,139.1100,5931883
2019-08-08,138.4500,140.4200,137.7600,140.1000,5261444
2019-08-09,139.2700,139.3100,135.3500,136.1300,5244594
2019-08-12,135.6600,135.8700,133.1800,134.1200,4516866
2019-08-13,133.8000,136.5700,132.8100,135.7900,4551170
2019-08-14,133.9100,134.1600,130.9800,131.2500,5114159
2019-08-15,131.2200,132.3700,130.2500,131.9200,3738945
2019-08-16,133.0400,134.5900,132.9500,133.7600,3011993
2019-08-19,134.8800,136.3300,134.8800,135.0400,3165436
2019-08-20,135.2400,135.2800,132.8100,133.0000,3018934
2019-08-21,134.9600,135.9400,133.8000,134.2500,2806774
2019-08-22,134.6900,135.6800,133.8100,134.3200,2695009
2019-08-23,133.6300,134.2600,128.8300,129.5700,4818759
2019-08-26,131.0500,131.3000,129.1600,129.9900,2836837
2019-08-27,131.2000,131.7000,130.3100,131.1700,4728392
2019-08-28,130.4400,132.8900,130.0400,132.7600,2713251
2019-08-29,134.1800,135.6900,134.0400,134.8800,2972842
2019-08-30,135.5800,136.0700,134.3600,135.5300,2960594
2019-09-03,134.8500,134.9000,133.3300,134.1000,2827919
2019-09-04,135.7100,136.4300,135.1500,136.3200,2247924
2019-09-05,138.3000,141.7000,138.0500,140.9700,5011628
2019-09-06,141.5200,141.5300,140.4600,140.5700,2576441
2019-09-09,140.5900,143.0200,140.4600,142.6000,4218622
2019-09-10,143.0000,145.4600,142.9600,145.0500,4979341
2019-09-11,144.8500,145.1200,142.7100,143.6000,3867963
2019-09-12,144.0300,144.0400,141.8800,143.6200,2504162
2019-09-13,144.3200,144.6500,143.2600,143.6700,2206605
2019-09-16,142.5600,143.6400,142.2700,142.4800,1928269
2019-09-17,142.4800,142.4800,140.6600,142.2000,2940494
2019-09-18,142.0500,142.3000,140.5100,142.2200,1994714
2019-09-19,142.4600,145.0300,142.4500,142.9700,3181790
2019-09-20,143.2500,143.8300,141.8200,141.8800,5217726
2019-09-23,141.1900,142.2200,140.5600,142.0700,1849558
2019-09-24,142.5000,142.8900,141.0700,141.6800,3311403
2019-09-25,141.7400,143.6300,140.8600,143.1600,2544628
2019-09-26,143.1700,143.8800,141.4100,143.5500,2313892
2019-09-27,144.4100,145.0900,142.3800,143.2400,2356682
2019-09-30,143.7300,146.5700,143.7300,145.4200,4004019
2019-10-01,145.5900,147.3500,143.5400,143.6600,2973628
2019-10-02,142.1900,142.2700,140.5700,141.6900,3347129
2019-10-03,141.6200,142.0700,139.1800,142.0200,3138743
2019-10-04,142.0600,143.0600,141.0300,142.9900,2447901
2019-10-07,142.2600,142.7000,141.2200,141.2800,2487737
2019-10-08,140.2400,140.4700,138.2500,138.3800,3342266
2019-10-09,139.7700,140.3300,138.7900,139.6700,2631860
2019-10-10,139.7700,141.7800,139.5600,141.1300,2619287
2019-10-11,142.7700,144.5000,142.6100,142.7600,3015458
2019-10-14,142.3100,142.4300,141.3200,142.0400,2325055
2019-10-15,142.5400,143.7200,141.8100,143.0000,3044933
2019-10-16,142.4900,142.9500,141.3900,142.1100,5835941
2019-10-17,135.0000,136.0000,132.9100,134.2600,15824614
2019-10-18,134.2200,134.4900,132.2500,134.0900,7177468
2019-10-21,132.6100,133.1000,130.9000,132.5800,6370639
2019-10-22,132.5500,134.0500,131.6100,133.9600,4193653
2019-10-23,133.5200,134.5700,132.7000,134.3800,3626724
2019-10-24,134.8300,135.0700,133.3000,134.0700,2619190
2019-10-25,134.1200,135.9300,134.1000,135.4400,2577995
2019-10-28,136.0000,136.6300,135.4500,135.9700,3225692
2019-10-29,135.4200,135.5700,133.4400,133.8200,4158483
2019-10-30,133.8300,135.2800,133.2000,135.2500,2252680
2019-10-31,135.1100,135.2500,133.2300,133.7300,3410851
2019-11-01,134.5000,135.5600,134.0900,135.5300,3088769
2019-11-04,136.2400,137.7400,136.2300,137.6700,3333510
2019-11-05,137.8000,138.7600,137.6300,137.8900,3012926
2019-11-06,138.0000,138.7800,137.5500,138.7800,4476362
2019-11-07,137.8700,139.1400,137.5800,137.6900,4073697
2019-11-08,137.5800,137.6100,136.1600,137.6100,2278446
